Average_Current,Max_Current,Min_Current,Median_Current,StDeviation_Current,Coffee Machine,Electric Kettle,Fridge
1.1038,1.15,1.06,1.105,0.025942637,0,0,1
1.1052,1.15,1.06,1.1,0.027047954,0,0,1
0.039510465,0.07,0.016176547,0.04,0.016567926,0,0,0
0.034518734,0.07,0.01,0.03,0.018146977,0,0,0
0.036608544,0.08,0.01,0.030846774,0.019561727,0,0,0
0.034959118,0.07,0.016661343,0.03,0.016811466,0,0,0
0.037628405,0.08,0.01,0.037943851,0.018715009,0,0,0
0.034473252,0.06,0.01,0.03,0.016545002,0,0,0
0.035599121,0.07,0.017128803,0.030725806,0.0172713,0,0,0
0.039248145,0.07,0.016627494,0.04,0.016951198,0,0,0
0.039610432,0.08,0.018066404,0.04,0.018243443,0,0,0
0.040546047,0.09,0.019518957,0.04,0.019585497,0,0,0
0.037330681,0.07,0.01,0.04,0.016561304,0,0,0
0.038101458,0.07,0.01727957,0.038396756,0.017482935,0,0,0
0.038325623,0.07,0.015409786,0.04,0.01584627,0,0,0
0.03912503,0.08,0.02,0.03922363,0.020051085,0,0,0
0.035593677,0.07,0.017825192,0.03,0.017888894,0,0,0
0.039943119,0.07,0.018933556,0.04,0.019036074,0,0,0
0.038064234,0.07,0.016584756,0.038373319,0.016863286,0,0,0
0.03556915,0.07,0.01,0.036162134,0.018126861,0,0,0
0.037871528,0.08,0.018490808,0.038133393,0.018566879,0,0,0
0.036257374,0.09,0.01,0.03,0.019011521,0,0,0
0.038518093,0.08,0.01,0.04,0.018127652,0,0,0
0.038887399,0.08,0.01,0.04,0.021054797,0,0,0
0.040587159,0.08,0.01,0.04,0.020540297,0,0,0
0.037782188,0.09,0.02,0.03,0.022385117,0,0,0
0.039412444,0.08,0.01,0.04,0.01942831,0,0,0
0.037389146,0.07,0.018237841,0.030967742,0.018345963,0,0,0
0.037389072,0.07,0.01,0.04,0.018607957,0,0,0
0.037698531,0.08,0.01,0.04,0.019447397,0,0,0
0.037900362,0.07,0.018171155,0.03,0.018278502,0,0,0
0.03649077,0.08,0.018555355,0.03,0.018583577,0,0,0
0.036816882,0.08,0.01927437,0.03,0.0192756,0,0,0
0.036484294,0.08,0.017549024,0.030806452,0.017685808,0,0,0
0.034424766,0.07,0.017363101,0.03,0.01742989,0,0,0
0.038138274,0.08,0.017280983,0.04,0.017485644,0,0,0
0.035878506,0.07,0.017803324,0.03,0.017878087,0,0,0
